,xUTM,yUTM,Prob
502,471500,861500,0.003497469527637484
503,472000,861500,0.003140717272069812
504,472500,861500,0.002365292213484542
505,473000,861500,0.0015296549414797046
506,473500,861500,0.0011236006010726096
507,474000,861500,0.001253747705919306
508,474500,861500,0.0013510963102571058
509,475000,861500,0.0010119796083665562
510,475500,861500,0.0005565749960836681
511,476000,861500,0.0005000397756209794
512,476500,861500,0.001063677274805985
513,477000,861500,0.0020146538643915747
514,477500,861500,0.002680425182770871
515,478000,861500,0.0025798166125165934
516,478500,861500,0.001873624327344886
517,479000,861500,0.001047696745544747
518,479500,861500,0.0005284189546865439
519,480000,861500,0.0004160030563922065
520,480500,861500,0.0004624438870279178
521,481000,861500,0.0004072034621623733
522,481500,861500,0.00024240763885687722
523,482000,861500,9.650769883451597e-05
524,482500,861500,2.575899810471026e-05
525,483000,861500,4.5777749117756964e-06
526,483500,861500,5.331783726148542e-07
527,484000,861500,3.9955130115397934e-08
528,468000,862000,9.566073478478557e-08
529,468500,862000,1.4868774918605286e-06
530,469000,862000,1.4569106454198633e-05
531,469500,862000,9.04752826678971e-05
532,470000,862000,0.0003590691748216584
533,470500,862000,0.0009277774943517383
534,471000,862000,0.0016346991046408978
535,471500,862000,0.0021570771138906242
536,472000,862000,0.002362867158014305
537,472500,862000,0.0021681422981858953
538,473000,862000,0.0016491391147136025
539,473500,862000,0.001337325301325439
540,474000,862000,0.0014748841636315713
541,474500,862000,0.0015664091621026828
542,475000,862000,0.0012365711559270591
543,475500,862000,0.0007904887655301144
544,476000,862000,0.0007669253309911097
545,476500,862000,0.0014549012261359832
546,477000,862000,0.0025772237320772313
547,477500,862000,0.003347018885625148
548,478000,862000,0.0032959969352751475
549,478500,862000,0.0025773657665641493
550,479000,862000,0.0015822159989629548
551,479500,862000,0.0008409123408703581
552,480000,862000,0.0006367716682473219
553,480500,862000,0.0006787163587020308
554,481000,862000,0.0005665853293208587
555,481500,862000,0.00030380002373422385
556,482000,862000,0.00010198962977732941
557,482500,862000,2.153522261174067e-05
558,483000,862000,2.8944602688557183e-06
559,483500,862000,2.515300140853948e-07
560,484000,862000,1.4353152735928861e-08
561,468000,862500,2.5040084264635054e-08
562,468500,862500,4.1258636799999145e-07
563,469000,862500,4.318385323211456e-06
564,469500,862500,2.8874395579485555e-05
565,470000,862500,0.0001252060539493802
566,470500,862500,0.0003673956917456955
567,471000,862500,0.000801160760718579
568,471500,862500,0.0014515766694662433
569,472000,862500,0.002197011884060198
570,472500,862500,0.0025341743629716403
571,473000,862500,0.002223193983806659
572,473500,862500,0.001909198862534298
573,474000,862500,0.0020545785439000084
574,474500,862500,0.0022122391273811403
575,475000,862500,0.0019381906722978743
576,475500,862500,0.0014370829210515143
577,476000,862500,0.0012500702222124416
578,476500,862500,0.0017430204522049244
579,477000,862500,0.0026729238775732166
580,477500,862500,0.0033110088497839713
581,478000,862500,0.0033023895933200365
582,478500,862500,0.0027575688715912247
583,479000,862500,0.0018491379101508258
584,479500,862500,0.001060047391161555
585,480000,862500,0.0008133959988103778
586,480500,862500,0.0008505650814365238
587,481000,862500,0.0007010158114357755
588,481500,862500,0.00036978500653982974
589,482000,862500,0.00012061990967946058
590,482500,862500,2.4232794299565023e-05
591,483000,862500,3.0013857854431615e-06
592,483500,862500,2.2980430512774904e-07
593,484000,862500,1.0928103956481636e-08
594,468000,863000,7.774459621652015e-09
595,468500,863000,1.4438727053251705e-07
596,469000,863000,1.6902236559089198e-06
597,469500,863000,1.255140485618179e-05
598,470000,863000,6.068045003814075e-05
599,470500,863000,0.00020467063726711427
600,471000,863000,0.000541816805856632
601,471500,863000,0.0012104987061768901
602,472000,863000,0.0021412831128602935
603,472500,863000,0.0027413433825524826
604,473000,863000,0.0026264512440802683
605,473500,863000,0.0024119029058973966
606,474000,863000,0.0026640244239927303
607,474500,863000,0.003015884499049502
608,475000,863000,0.0029256797489777032
609,475500,863000,0.002400937086193618
610,476000,863000,0.0019394158295192733
611,476500,863000,0.001996462490754273
612,477000,863000,0.002458720741618489
613,477500,863000,0.0027760963951179835
614,478000,863000,0.0027155848034408027
615,478500,863000,0.0023589911076869574
616,479000,863000,0.001692024292446871
617,479500,863000,0.0010055368862228187
618,480000,863000,0.0007183570744302904
619,480500,863000,0.0006987000545474831
620,481000,863000,0.0005635218800762551
621,481500,863000,0.00029517331199815244
622,482000,863000,9.578307581987525e-05
623,482500,863000,1.9116457996122253e-05
624,483000,863000,2.344268022557771e-06
625,483500,863000,1.766503720274648e-07
626,484000,863000,8.182787961932958e-09
627,468000,863500,1.1825476532365119e-08
628,468500,863500,2.32350776191091e-07
629,469000,863500,2.8406921395824543e-06
630,469500,863500,2.1585956732524436e-05
631,470000,863500,0.0001029045611698044
632,470500,863500,0.0003180252655474062
633,471000,863500,0.000693217062522544
634,471500,863500,0.0012267843032275514
635,472000,863500,0.0019141612373508295
636,472500,863500,0.002491197272331909
637,473000,863500,0.002631210760440055
638,473500,863500,0.002583652274422773
639,474000,863500,0.0027989467070583048
640,474500,863500,0.0032051658578931912
641,475000,863500,0.003350026226879508
642,475500,863500,0.0029831889438002046
643,476000,863500,0.0024004429955569065
644,476500,863500,0.0020552644973577576
645,477000,863500,0.002014998292029332
646,477500,863500,0.002004139291247844
647,478000,863500,0.0019011590220686192
648,478500,863500,0.001731583358007183
649,479000,863500,0.0013476915682956603
650,479500,863500,0.0008350333983905598
651,480000,863500,0.0005321269700567006
652,480500,863500,0.0004430786525997671
653,481000,863500,0.00033389600449167724
654,481500,863500,0.00016950205239798293
655,482000,863500,5.3819281050245225e-05
656,482500,863500,1.0545414819222447e-05
657,483000,863500,1.27201893084934e-06
658,483500,863500,9.440192167693479e-08
659,484000,863500,4.3094982233884465e-09
660,468000,864000,2.792971799472757e-08
661,468500,864000,5.062239171143171e-07
662,469000,864000,5.953272655860676e-06
663,469500,864000,4.4315212098834215e-05
664,470000,864000,0.00020661940964787474
665,470500,864000,0.000605677936720659
666,471000,864000,0.0011517773796726229
667,471500,864000,0.0015748626288289817
668,472000,864000,0.0019174493228532928
669,472500,864000,0.002404797335412521
670,473000,864000,0.0028083436821058345
671,473500,864000,0.0028072717835163096
672,474000,864000,0.002638638104622847
673,474500,864000,0.002714527927365754
674,475000,864000,0.0029045167824874756
675,475500,864000,0.0027763256511067667
676,476000,864000,0.0023138684953449527
677,476500,864000,0.0018045164350346565
678,477000,864000,0.0014334326213174592
679,477500,864000,0.0012320944370349753
680,478000,864000,0.0012019008696069783
681,478500,864000,0.0012605500677035702
682,479000,864000,0.00113518518570907
683,479500,864000,0.0008009389063860378
684,480000,864000,0.0005509659744856461
685,480500,864000,0.0004390108434281654
686,481000,864000,0.0003038989009606757
687,481500,864000,0.00014241013967938466
688,482000,864000,4.1956297597304604e-05
689,482500,864000,7.651166844431115e-06
690,483000,864000,8.610756175284817e-07
